refnames_all,orgs,dist_img,dst_type,dmos_std,dmos_new,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
studentsculpture.bmp,0,img2.bmp,jp2k,1.6294556597749836,15.512954417537026,0.01763532,0.05166256,5.2396970000000005,5.3441324234,1.71148,1.249138,1.325768,1.582867,2.225805
rapids.bmp,0,img3.bmp,jp2k,1.7384717298751982,24.09025497677203,0.04307353,0.09607274,9.70814,8.4479637146,2.994847,2.246807,2.377284,2.803158,3.804099
dancers.bmp,0,img4.bmp,jp2k,2.6202145100126977,68.99086164929872,0.16262377,0.24191475,20.348845999999998,19.9299640656,6.766348,4.882002,5.190536,6.245574,8.862935
churchandcapitol.bmp,0,img5.bmp,jp2k,2.1280246055850447,74.39794796497739,0.17280866,0.22068511,38.476729999999996,27.3823165894,8.820711,5.655301,6.238602,8.144949,12.07858
dancers.bmp,0,img6.bmp,jp2k,2.4234375332095834,69.2292141708657,0.1862331,0.25578508,26.245106,21.4017066956,7.533577,5.423453,5.787811,7.021678,9.791243
churchandcapitol.bmp,0,img7.bmp,jp2k,2.2871613424573773,53.578731920146005,0.0671931,0.13879065,18.275185,15.2824192047,4.811942,3.115439,3.396675,4.375033,6.66412
stream.bmp,0,img8.bmp,jp2k,2.9727376233002434,39.37667556675135,0.08828868,0.15658205,10.133242,10.1193885803,3.968211,2.985364,3.196669,3.792722,4.915241
woman.bmp,0,img10.bmp,jp2k,1.897651571988617,43.42259860497224,0.08996802,0.15143932,12.403571000000001,12.4322185516,4.234373,3.326649,3.48722,4.00903,5.20687
sailing3.bmp,0,img12.bmp,jp2k,2.8491496202582303,34.802951811201964,0.02791769,0.07390455,8.247186,8.9972543716,2.984822,2.175028,2.29552,2.736809,3.922138
buildings.bmp,0,img13.bmp,jp2k,1.9798755741482423,46.684096124058215,0.09917354,0.18075303,15.513494,14.2472991943,5.543852,3.810188,4.167389,5.290622,7.173546
paintedhouse.bmp,0,img14.bmp,jp2k,2.8965339098423906,45.679490649039394,0.07743811,0.12457176,10.855099000000001,10.9786090851,4.146606,3.170509,3.362337,3.943023,5.134457
bikes.bmp,0,img15.bmp,jp2k,2.0934379590624377,12.692083542828538,0.01319832,0.03985838,4.966112,4.6030898094,1.617291,1.13592,1.23174,1.528797,2.091335
stream.bmp,0,img17.bmp,jp2k,2.3035207833041254,65.23107378633902,0.15367056,0.23191135,21.350542,17.8073406219,6.418686,4.535757,4.930948,6.105092,8.220019
