ref_img,dist_img,dst_lev,95_CI,STD,mos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
bike,bike_jp2420_0.250000_dec.bmp,6,5.860638735712392,10.781037483970142,18.69230769230769,0.08762108,0.15927507,18.385851,21.6659107208,5.655632,3.750575,4.044703,5.070102,7.852091
bike,bike_jp2420_0.500000_dec.bmp,5,5.965713211535396,10.974329019848886,43.46153846153846,0.03901346,0.12955538,12.283384,9.4519662857,3.3116,2.397807,2.573924,3.12944,4.231437
bike,bike_jp2420_0.750000_dec.bmp,4,8.398085251855683,15.448840301675286,63.0,0.02467676,0.09307298,8.295544999999999,6.3704948425,2.363396,1.825829,1.940322,2.262388,2.887477
bike,bike_jp2420_1.000000_dec.bmp,3,6.75887996510095,12.433412387182514,69.38461538461539,0.01565018,0.06619708,6.729023,6.0547060966,1.913887,1.433465,1.527891,1.806103,2.407666
bike,bike_jp2420_1.250000_dec.bmp,2,5.660041050582591,10.412024606687039,90.92307692307692,0.01085275,0.05098621,5.119789,4.3662805557,1.497667,1.166371,1.23396,1.419784,1.839257
bike,bike_jp2420_1.500000_dec.bmp,1,6.051151454479497,11.131498390165467,91.92307692307692,0.00791672,0.03972781,4.669237,4.21463871,1.301815,0.990777,1.051113,1.222038,1.632294
bike,bike_jp2444_0.250000_dec.bmp,6,8.079880484206017,14.863481319094696,32.615384615384606,0.07167609,0.15226874,15.026573,13.6145648956,4.484086,3.337139,3.527001,4.204116,5.721141
bike,bike_jp2444_0.500000_dec.bmp,5,6.8454876080317275,12.592732947097824,49.92307692307693,0.03343197,0.12360184,7.985586,8.317814827,2.768289,2.120204,2.237368,2.622077,3.445422
bike,bike_jp2444_0.750000_dec.bmp,4,8.180070262956386,15.047787127544614,76.46153846153847,0.02026676,0.09934764,5.63785,5.6673207283,2.011763,1.591496,1.670253,1.92068,2.444355
bike,bike_jp2444_1.000000_dec.bmp,3,8.573985147046567,15.772419940175025,76.53846153846153,0.0140467,0.08453868,4.559007,4.5515294075,1.632731,1.279179,1.347711,1.558066,1.992416
bike,bike_jp2444_1.250000_dec.bmp,2,5.890943137169539,10.836784460156867,88.46153846153847,0.00970219,0.0657486,3.853892,3.8785934448,1.352631,1.078711,1.131614,1.293723,1.632557
bike,bike_jp2444_1.500000_dec.bmp,1,6.285467788911481,11.562538981223268,91.76923076923076,0.00737016,0.05185486,3.093389,3.1804828644,1.165958,0.942325,0.98978,1.126803,1.38129
bike,bike_jpg420_0.250000_dec.bmp,6,2.4295219130187458,4.469268281761455,5.153846153846153,0.19251039,0.21545144,22.988577,24.7018013,9.445362,6.739436,7.291268,9.016223,12.028596
bike,bike_jpg420_0.500000_dec.bmp,5,8.815381214480032,16.216484174270295,36.153846153846146,0.053292099999999995,0.14276372,13.317132,12.2835359573,3.682122,2.803953,2.922812,3.336889,4.786666
bike,bike_jpg420_0.750000_dec.bmp,4,11.282368223986369,20.75467201033084,71.38461538461539,0.02611009,0.10338018,7.411194,7.2352209091,2.33469,1.862173,1.92952,2.160159,2.914393
bike,bike_jpg420_1.000000_dec.bmp,3,7.3256368074801825,13.475999558569455,83.53846153846153,0.01663521,0.08005641,6.09844,6.073032856,1.858178,1.438492,1.4945,1.691335,2.388698
bike,bike_jpg420_1.250000_dec.bmp,2,3.8654988374500143,7.1108440120777905,96.69230769230772,0.01195487,0.06665491,5.740411,5.9520487785,1.600658,1.218241,1.268315,1.445271,2.088387
bike,bike_jpg420_1.500000_dec.bmp,1,5.862577739482802,10.784604411275003,93.15384615384615,0.00885776,0.05565325,5.551264,4.6896619797,1.395956,1.053504,1.100344,1.268418,1.819105
bike,bike_xrMS420_0.250000_dec.bmp,6,5.886761398537708,10.829091871862145,17.53846153846154,0.0945015,0.1605093,20.789259,19.191400528,5.788935,4.323171,4.548119,5.322355,7.496332
bike,bike_xrMS420_0.500000_dec.bmp,5,9.585018718105353,17.632283910413758,45.69230769230769,0.04351481,0.11181172,13.724951,12.7835226059,3.627034,2.634766,2.753305,3.230864,4.896934
bike,bike_xrMS420_0.750000_dec.bmp,4,7.1608771624501575,13.172913156384238,63.769230769230774,0.02441524,0.07444267,11.736387,10.4961585999,2.731065,1.895001,1.975475,2.332468,3.885252
bike,bike_xrMS420_1.000000_dec.bmp,3,7.461426909026028,13.725794545214347,84.30769230769229,0.01631823,0.05544943,8.920264999999997,6.97286129,2.037002,1.523655,1.585354,1.826668,2.698985
bike,bike_xrMS420_1.250000_dec.bmp,2,8.980371934329641,16.519995654062885,85.07692307692308,0.01203908,0.04419717,7.754139,6.8518657684,1.780873,1.293154,1.349183,1.571545,2.421892
bike,bike_xrMS420_1.500000_dec.bmp,1,5.932279098771392,10.912824730093654,87.38461538461539,0.00878869,0.03587897,5.5519440000000015,5.8999428749,1.498372,1.092446,1.142391,1.334359,2.018367
bike,bike_xrPS420_0.25.bmp,6,8.515903859276122,15.66557552119476,14.923076923076925,0.09725208,0.17088207,25.372381,27.5067977905,7.548974,4.788912,5.120232,6.546834,10.979856
bike,bike_xrPS420_0.5.bmp,5,9.47250013339247,17.425298437645928,43.153846153846146,0.04138047,0.12911237,13.822831,14.7091112137,4.083498,2.708387,2.864189,3.569884,5.816421
bike,bike_xrPS420_0.75.bmp,4,8.9285431532942,16.424653139997535,67.53846153846153,0.02492576,0.10302734,12.667518,10.2714824677,2.906515,2.000334,2.102264,2.540396,4.076886
bike,bike_xrPS420_1.0.bmp,3,5.772381361948567,10.618682133692968,74.38461538461539,0.01684443,0.08455596,11.491556,11.1243877411,2.57111,1.614885,1.697539,2.104898,3.910894
bike,bike_xrPS420_1.25.bmp,2,6.273703171117513,11.540897178829196,90.23076923076924,0.01254159,0.07030853,11.081617,10.3194293976,2.30378,1.372651,1.447034,1.843802,3.620505
bike,bike_xrPS420_1.5.bmp,1,7.257311025001579,13.35030970542516,91.30769230769228,0.00935611,0.0547568,10.205387,11.0490846634,2.328855,1.183962,1.259117,1.804555,3.922893
cafe,cafe_jp2420_0.250000_dec.bmp,6,5.833100271478307,10.730378634560182,12.153846153846152,0.23539241,0.26184975,50.874001,56.1564178467,12.603593,6.805958,7.349257,10.188984,20.27254
cafe,cafe_jp2420_0.500000_dec.bmp,5,7.30803205687952,13.443614440721262,31.30769230769231,0.12080883,0.18704286,22.425415,22.1229972839,6.450845,4.384209,4.671416,5.74538,8.93574
cafe,cafe_jp2420_0.750000_dec.bmp,4,6.476353102395155,11.91368530035511,51.53846153846154,0.07623861,0.15201618,21.517975,15.9524393082,4.94692,3.419684,3.648082,4.507185,6.685492
cafe,cafe_jp2420_1.000000_dec.bmp,3,7.904248576691537,14.540394661874794,50.384615384615394,0.05173118,0.1307545,14.703476,12.8546686172,3.882426,2.694552,2.886421,3.576645,5.184213
