refnames_all,orgs,dist_img,dst_type,dmos_std,dmos_new
studentsculpture.bmp,0,img2.bmp,jp2k,1.6294556597749836,15.512954417537028
rapids.bmp,0,img3.bmp,jp2k,1.7384717298751982,24.09025497677203
dancers.bmp,0,img4.bmp,jp2k,2.6202145100126977,68.99086164929872
churchandcapitol.bmp,0,img5.bmp,jp2k,2.1280246055850447,74.39794796497739
dancers.bmp,0,img6.bmp,jp2k,2.4234375332095834,69.2292141708657
churchandcapitol.bmp,0,img7.bmp,jp2k,2.2871613424573773,53.57873192014601
stream.bmp,0,img8.bmp,jp2k,2.9727376233002434,39.37667556675135
woman.bmp,0,img10.bmp,jp2k,1.8976515719886171,43.42259860497224
sailing3.bmp,0,img12.bmp,jp2k,2.8491496202582303,34.802951811201964
buildings.bmp,0,img13.bmp,jp2k,1.9798755741482426,46.684096124058215
paintedhouse.bmp,0,img14.bmp,jp2k,2.89653390984239,45.67949064903939
bikes.bmp,0,img15.bmp,jp2k,2.0934379590624377,12.692083542828541
stream.bmp,0,img17.bmp,jp2k,2.3035207833041254,65.23107378633902
carnivaldolls.bmp,0,img18.bmp,jp2k,2.1281480218326507,29.39224918059548
sailing1.bmp,0,img19.bmp,jp2k,1.7382838028873744,3.8890621428635583
coinsinfountain.bmp,0,img21.bmp,jp2k,2.415602535276761,22.461157863083844
woman.bmp,0,img23.bmp,jp2k,2.204276955827919,35.59966912005858
manfishing.bmp,0,img26.bmp,jp2k,1.5336433982143336,11.714566786308875
house.bmp,0,img27.bmp,jp2k,2.3058602871669107,48.4017211733363
coinsinfountain.bmp,0,img28.bmp,jp2k,1.9975010620796416,70.94908661426099
buildings.bmp,0,img29.bmp,jp2k,1.6382322934715163,63.644935917203554
building2.bmp,0,img30.bmp,jp2k,1.581241601321203,75.20085071703139
ocean.bmp,0,img31.bmp,jp2k,1.748306014038223,23.258787473568603
rapids.bmp,0,img32.bmp,jp2k,1.8805085144937823,76.28674666689452
buildings.bmp,0,img33.bmp,jp2k,1.8497706238989116,52.785636451117234
studentsculpture.bmp,0,img34.bmp,jp2k,1.669838891269479,8.613511703300915
ocean.bmp,0,img37.bmp,jp2k,2.534981040961189,25.854249036910815
sailing3.bmp,0,img38.bmp,jp2k,1.6871542451208674,65.85757417524141
sailing4.bmp,0,img39.bmp,jp2k,2.345051667857986,26.960368393676966
paintedhouse.bmp,0,img40.bmp,jp2k,2.4115967331354446,75.7811284764878
building2.bmp,0,img41.bmp,jp2k,1.9699127089403106,43.696253511551454
womanhat.bmp,0,img42.bmp,jp2k,1.6834654914668363,54.17424655185858
sailing1.bmp,0,img43.bmp,jp2k,2.210567083711034,67.6967798207526
flowersonih35.bmp,0,img44.bmp,jp2k,2.7263041160692696,71.61970727692339
churchandcapitol.bmp,0,img45.bmp,jp2k,2.5828698184102787,74.14564153374137
cemetry.bmp,0,img46.bmp,jp2k,2.0347093381371795,73.09174201136065
house.bmp,0,img47.bmp,jp2k,2.3128767906360443,48.08894690810563
cemetry.bmp,0,img48.bmp,jp2k,1.8648146563915367,77.32511548366256
caps.bmp,0,img49.bmp,jp2k,2.372541157742341,13.501078103650578
lighthouse.bmp,0,img51.bmp,jp2k,1.8852576810953185,20.52307378942626
sailing4.bmp,0,img52.bmp,jp2k,2.6590215768236503,51.011385213379874
plane.bmp,0,img53.bmp,jp2k,2.5765818471127178,62.47597192836157
sailing2.bmp,0,img55.bmp,jp2k,3.08598252270823,46.03974281634614
monarch.bmp,0,img56.bmp,jp2k,2.5946780154648166,41.28402576683269
plane.bmp,0,img58.bmp,jp2k,2.293305808640885,5.651469652190897
sailing2.bmp,0,img59.bmp,jp2k,1.7047262519099886,10.109294080950896
studentsculpture.bmp,0,img60.bmp,jp2k,2.0413714574914246,63.376792364010086
monarch.bmp,0,img61.bmp,jp2k,2.64991255200665,21.45709519844654
sailing2.bmp,0,img62.bmp,jp2k,1.4581884882202256,6.320751746555565
manfishing.bmp,0,img63.bmp,jp2k,2.2640576624871542,30.07521146577485
dancers.bmp,0,img65.bmp,jp2k,1.6169172127679154,82.98273370788652
caps.bmp,0,img68.bmp,jp2k,2.665264261608864,24.82662376759264
ocean.bmp,0,img69.bmp,jp2k,1.7423359627583637,5.909674455410709
stream.bmp,0,img71.bmp,jp2k,2.226784365003649,80.121282737048
lighthouse2.bmp,0,img74.bmp,jp2k,2.1836601240947577,52.08982994049394
womanhat.bmp,0,img75.bmp,jp2k,1.7855426601282673,11.035277608283096
coinsinfountain.bmp,0,img77.bmp,jp2k,1.7103334644737602,12.523344239786702
bikes.bmp,0,img78.bmp,jp2k,1.9836351092391096,30.57070176854073
carnivaldolls.bmp,0,img79.bmp,jp2k,1.6392524977456093,79.16743675958445
house.bmp,0,img80.bmp,jp2k,2.572737546434337,20.56698474721343
rapids.bmp,0,img81.bmp,jp2k,1.777116388196908,44.74511025359578
paintedhouse.bmp,0,img82.bmp,jp2k,2.0920966720812957,11.339054336612762
caps.bmp,0,img83.bmp,jp2k,2.624627634453675,42.36932036075071
parrots.bmp,0,img85.bmp,jp2k,2.4495771438577276,18.563119639992887
flowersonih35.bmp,0,img86.bmp,jp2k,3.0818774275371803,76.23532996373504
sailing1.bmp,0,img88.bmp,jp2k,1.7911191371788184,66.04417836262544
sailing4.bmp,0,img90.bmp,jp2k,1.242815142725972,11.324709943682542
lighthouse.bmp,0,img91.bmp,jp2k,2.2882016663254263,48.72445543811661
statue.bmp,0,img92.bmp,jp2k,2.023303204131381,36.651332405233276
manfishing.bmp,0,img94.bmp,jp2k,2.746299163838925,30.248805104886298
