image,dst_type,dst_idx,dst_lev,dmos_std,dmos,DSSIM,SSIMULACRA,Butteraugli
1600,AWGN,1,1,0.0612190731017426,0.06198940631407,0.00374064,0.04121361,2.578992
1600,AWGN,1,2,0.0971321981418872,0.20624450621129106,0.01338788,0.11214672,4.927714
1600,AWGN,1,3,0.0325909045630567,0.262122225978979,0.03820509,0.21200211,9.113177
1600,AWGN,1,4,0.106896094889754,0.3746322895961989,0.08991186,0.30976739,12.603234
1600,AWGN,1,5,0.1196543774021,0.467480295574237,0.16998161,0.39719199,16.456184
1600,JPEG,2,1,0.00359832912629426,0.0128730514556379,0.0012388,0.01130547,2.187153
1600,JPEG,2,2,0.063352119952441,0.0691476976770665,0.00665382,0.0340369,3.509669
1600,JPEG,2,3,0.0836092997640814,0.196827211716677,0.03036384,0.08878252,8.763564
1600,JPEG,2,4,0.082817360991949,0.5010634792871811,0.14312533,0.21320945,20.110664
1600,JPEG,2,5,0.0586628643325048,0.687126840509715,0.3451187,0.32073022,34.969219
1600,jpeg2000,3,1,0.00199118866439743,0.0119674975407025,0.00290371,0.01618662,2.95382
1600,jpeg2000,3,2,0.0592617778718178,0.135311311101256,0.01389872,0.048480300000000004,6.258058999999999
1600,jpeg2000,3,3,0.0696109813705117,0.3643609853066029,0.05248563,0.11641445,8.595163000000001
1600,jpeg2000,3,4,0.0919258697272447,0.575843448619273,0.18655578,0.24386526,28.208004
1600,jpeg2000,3,5,0.0,0.826915940190613,0.67525158,0.43512551,106.868729
1600,fnoise,4,1,0.0415580206237111,0.05237616147238599,0.00844047,0.02132801,4.245988
1600,fnoise,4,2,0.0576060933464618,0.253057872808644,0.02968395,0.0636593,8.719305
1600,fnoise,4,3,0.0214627599173081,0.375740865814505,0.08643348,0.14422201,16.083099
1600,fnoise,4,4,0.111111722269478,0.48988015846181,0.21118801,0.26215927,23.290851999999997
1600,fnoise,4,5,0.115776375800555,0.565219408431134,0.44324697,0.38585449,41.671993
1600,BLUR,5,1,0.0529045007309422,0.0426677131995919,0.00281198,0.00561453,1.4551370000000001
1600,BLUR,5,2,0.0817870357089661,0.142434686900012,0.01158424,0.02292292,2.7498259999999997
1600,BLUR,5,3,0.0823449646664687,0.34111428415897305,0.04010713,0.07388743,5.487328
1600,BLUR,5,4,0.115072536148307,0.471037699302558,0.14542083,0.20082413,16.274107
1600,BLUR,5,5,0.0536981387227261,0.749794523955729,0.53836713,0.39207153,124.157936
1600,contrast,6,1,0.0458590629654374,0.0561813273978641,0.00574292,0.03673765,5.397315
1600,contrast,6,2,0.0814242067047188,0.20096895638002896,0.03501558,0.07273603,13.216642000000002
1600,contrast,6,3,0.0960480603819471,0.310324647834514,0.16577979,0.15444172,29.627333
1600,contrast,6,4,0.115433057868455,0.370598871808904,0.23710923,0.19013857,37.227352
aerial_city,AWGN,1,1,0.0136596774372606,0.031592368858435,0.00463301,0.03909037,1.813435
aerial_city,AWGN,1,2,0.0815755778408609,0.12513507706670302,0.01619451,0.10709936,3.5053900000000002
aerial_city,AWGN,1,3,0.0642599923200663,0.244957300482738,0.04538915,0.20948619,5.448052
aerial_city,AWGN,1,4,0.0541112709522354,0.372946533696755,0.10602016,0.32135309,8.799097999999999
aerial_city,AWGN,1,5,0.0458282343664985,0.501262985133045,0.2088327,0.42933086,12.483935
aerial_city,JPEG,2,1,0.0142211853932522,0.0302819948023374,0.00297113,0.02870487,1.6874900000000002
aerial_city,JPEG,2,2,0.0428387459926707,0.0645451464014395,0.01437924,0.08781285,3.525035
aerial_city,JPEG,2,3,0.146040834444311,0.38889236177884295,0.06225909,0.1868241,8.921989
aerial_city,JPEG,2,4,0.0559105242303438,0.607259927699706,0.18108374,0.26548295,16.799164
aerial_city,JPEG,2,5,0.0387986805177265,0.8190818939744,0.43598415,0.34261679,43.888237
aerial_city,jpeg2000,3,1,0.0090576524799601,0.0270451931525208,0.00635728,0.04053357,2.669377
aerial_city,jpeg2000,3,2,0.0133998159644024,0.191014253095208,0.03034391,0.12399349999999999,6.302980000000001
aerial_city,jpeg2000,3,3,0.0785213172980865,0.485550527180349,0.09500246,0.2011059,15.345977
aerial_city,jpeg2000,3,4,0.121996955366843,0.7544132534590999,0.2518855,0.27428372,53.612190000000005
aerial_city,jpeg2000,3,5,0.0,0.955908136394764,0.75462121,0.41564120000000004,136.802017
aerial_city,fnoise,4,1,0.0410357390530957,0.125645713659564,0.01079041,0.02091536,4.370379
aerial_city,fnoise,4,2,0.0971472948100722,0.31873079734833804,0.03926355,0.06537707,7.4242550000000005
aerial_city,fnoise,4,3,0.0775881322579806,0.475220736192205,0.11275628,0.15625654,15.499431
aerial_city,fnoise,4,4,0.0520872542894196,0.6006280112891981,0.26352836,0.27887793,24.428951
aerial_city,fnoise,4,5,0.0720001574406689,0.707734203653038,0.55805048,0.41984479,35.696709000000006
aerial_city,BLUR,5,1,0.009745392419187659,0.0249838918612171,0.00327567,0.00878613,1.654716
aerial_city,BLUR,5,2,0.082236174176025,0.114348571203765,0.01164992,0.03052062,3.165849
aerial_city,BLUR,5,3,0.0866205784714729,0.259420812794303,0.04103995,0.09949045,5.679317
aerial_city,BLUR,5,4,0.0804592592247703,0.463944830038668,0.14273403,0.20565104,16.524481
aerial_city,BLUR,5,5,0.0743813468043418,0.895962857527705,0.7036089,0.38351764,133.377548
aerial_city,contrast,6,1,0.0400696104986912,0.0378070311306819,0.01048491,0.01960774,5.629755
aerial_city,contrast,6,2,0.0582841328332744,0.16308937099203602,0.06725054,0.07161185,13.731873
aerial_city,contrast,6,3,0.0491993581806271,0.3665669611199221,0.32413988,0.20679488,30.754389
aerial_city,contrast,6,4,0.0572555789207353,0.4525869290530471,0.46914761,0.26586364,38.938423
boston,AWGN,1,1,0.0420287855493949,0.0291592692530227,0.00357655,0.03453297,2.076391
boston,AWGN,1,2,0.0215701168385565,0.0813684818258959,0.01275228,0.09547642,3.7075400000000003
boston,AWGN,1,3,0.0464281435953059,0.215496298627898,0.03758418,0.19382127,5.647365
boston,AWGN,1,4,0.11409671397388,0.383116126747224,0.08693077,0.29637143,9.154884
boston,AWGN,1,5,0.0760523134741936,0.471590838075796,0.1691783,0.39413743,12.92774
boston,JPEG,2,1,0.0,0.0,0.00244953,0.02473754,1.7133919999999998
boston,JPEG,2,2,0.0381121092520099,0.0498835173529152,0.01118041,0.05855466,3.215595
boston,JPEG,2,3,0.0674426796043998,0.328491509700123,0.057733400000000004,0.14454035,6.431407
boston,JPEG,2,4,0.0901548932697061,0.736937039128374,0.34198923,0.32371999,31.328314000000002
boston,JPEG,2,5,0.0664958690008646,0.8324809865230991,0.52577801,0.3761427,42.322495
boston,jpeg2000,3,1,0.0004886778783870719,0.000294395042436253,0.00449563,0.02989664,2.326667
boston,jpeg2000,3,2,0.095397200942493,0.1181350968545,0.02384557,0.08379392,4.480939
boston,jpeg2000,3,3,0.122025020224388,0.3893350812075979,0.08762084,0.17409998,17.13571
boston,jpeg2000,3,4,0.0959169110321258,0.6965625312273089,0.30012992,0.30879242,39.207775
boston,jpeg2000,3,5,0.0033828099206566,0.904305422978862,0.94875885,0.45377495,134.582794
boston,fnoise,4,1,0.0488900294160526,0.0676535887151561,0.00856945,0.017596200000000003,4.537033
boston,fnoise,4,2,0.129803731915935,0.243426817794292,0.033011900000000004,0.05829425,7.710394
boston,fnoise,4,3,0.0986990189605454,0.498128999068226,0.09293548,0.13766544,13.582354999999998
boston,fnoise,4,4,0.103936656056362,0.6199626990385531,0.22578103,0.25479212,22.233192000000003
boston,fnoise,4,5,0.103858319742826,0.7240842268002149,0.40856322,0.34959067,31.155237
boston,BLUR,5,1,0.0600780607334628,0.0834562949685563,0.00345973,0.00838793,1.433675
boston,BLUR,5,2,0.108236629688157,0.215748970761468,0.01413418,0.033083600000000005,2.992438
boston,BLUR,5,3,0.15553713782500306,0.36312032387843,0.05209444,0.09985847,6.58188
boston,BLUR,5,4,0.0752730276134605,0.571217256028999,0.20516941,0.23144071,25.804222
boston,BLUR,5,5,0.0229159481696207,0.913012520343366,0.91978586,0.43975985,148.39816299999998
boston,contrast,6,1,0.0443997235911567,0.116568400627501,0.01313953,0.01788933,8.62674
boston,contrast,6,2,0.0962585783369183,0.339159270140588,0.08784157,0.07169062,21.118643
boston,contrast,6,3,0.0314617249932363,0.605351710200846,0.48845861,0.27422807,49.789257
boston,contrast,6,4,0.131435907369193,0.689729464762712,0.78101735,0.38531704,72.891739
bridge,AWGN,1,1,0.006796541807565211,0.0277820429649864,0.00403767,0.03709626,2.471736
bridge,AWGN,1,2,0.0724702708828939,0.08785664541352199,0.01427648,0.10058507,4.23217
bridge,AWGN,1,3,0.12708815833065198,0.25178837180750696,0.04102244,0.19685194,7.169356
bridge,AWGN,1,4,0.119261531841214,0.408695188321812,0.09241491,0.29162467,9.9748
bridge,AWGN,1,5,0.0772976623865088,0.517008840148937,0.18737558,0.39263881,15.321204000000002
bridge,JPEG,2,1,0.0459408093800418,0.0371934684301201,0.0018233000000000001,0.01786904,1.581869
bridge,JPEG,2,2,0.0738330470298446,0.0758366784340456,0.0108134,0.04684324,3.5469699999999995
bridge,JPEG,2,3,0.0682229163102482,0.272774342321385,0.05036277,0.11151813,9.306627
bridge,JPEG,2,4,0.0665432138623141,0.7431163477930859,0.29206965,0.26063946,30.520905
bridge,JPEG,2,5,0.0428968226194365,0.8161642441908671,0.40968834,0.33671433,48.265278
bridge,jpeg2000,3,1,0.044175645187139005,0.0381181282838827,0.00559399,0.02731248,3.045009
bridge,jpeg2000,3,2,0.0662210916805626,0.20293495854493,0.02534168,0.06806877,11.057179
bridge,jpeg2000,3,3,0.0972450224841772,0.40937998386247904,0.07739598,0.12552472,18.310249
bridge,jpeg2000,3,4,0.0885613359860072,0.650819626444425,0.25385537,0.23663866,42.138107
bridge,jpeg2000,3,5,0.0340638302612865,0.824681556929448,0.68334953,0.37728765,120.584488
bridge,fnoise,4,1,0.0369649462027305,0.0508210865559853,0.00765753,0.01705914,3.8269330000000004
bridge,fnoise,4,2,0.391236800003524,0.292756804348552,0.02967902,0.05637749,8.7638
bridge,fnoise,4,3,0.17611016710247895,0.42886785180742704,0.08270326,0.13226214,12.606208
bridge,fnoise,4,4,0.0839875942811189,0.5953103434536171,0.23158217,0.2594251,20.577574
bridge,fnoise,4,5,0.0569860536638171,0.6965404539682659,0.47484612,0.37475145,42.887806
bridge,BLUR,5,1,0.0595137889268383,0.060651002059486,0.00292156,0.00552393,2.0243450000000003
bridge,BLUR,5,2,0.0482602538556158,0.18243707283849694,0.01189752,0.02166428,3.751364
bridge,BLUR,5,3,0.0695164955777268,0.348139868389914,0.04469126,0.06998093,6.813257000000001
bridge,BLUR,5,4,0.0713255865331785,0.635791026092168,0.16327811,0.1759341,24.411587
bridge,BLUR,5,5,0.0266019088071405,0.77717834451828,0.56248364,0.32258974,132.08316000000002
bridge,contrast,6,1,0.0105026714193012,0.0364070783980555,0.00484973,0.04938722,5.236872
bridge,contrast,6,2,0.0465648782016764,0.139471451709329,0.02708066,0.10819110000000001,12.038167999999999
bridge,contrast,6,3,0.0645592039800945,0.34489177345472904,0.11346942,0.1821412,23.606870999999998
bridge,contrast,6,4,0.0374093448917458,0.457521932555123,0.18828675,0.22342328,29.480079999999997
butter_flower,AWGN,1,1,0.00724701449091933,0.0265740735109992,0.0041806000000000005,0.04395779,3.207794
butter_flower,AWGN,1,2,0.0729868059246941,0.0891654398483989,0.01377329,0.12296626,5.6201300000000005
butter_flower,AWGN,1,3,0.16340714291643502,0.252298657154262,0.04183632,0.26970165,10.593131
butter_flower,AWGN,1,4,0.21956867037494104,0.434892178865128,0.11015628,0.41887609,18.069672
butter_flower,AWGN,1,5,0.150368683470837,0.545271035393267,0.248299,0.53257388,31.823065000000003
butter_flower,JPEG,2,1,0.00639295691874666,0.0232589516087444,0.00058334,0.00687928,0.8028529999999999
butter_flower,JPEG,2,2,0.0136634527462784,0.0308912184202642,0.00795731,0.044182099999999995,3.763639
butter_flower,JPEG,2,3,0.115732070099184,0.409916347904866,0.05355045,0.10875230000000001,10.827831
butter_flower,JPEG,2,4,0.13432831795322805,0.699412650644778,0.15770735,0.26184959,23.811283
butter_flower,JPEG,2,5,0.0706310175784943,0.808089235003621,0.32071242,0.27914941,37.317627
butter_flower,jpeg2000,3,1,0.0100788003337429,0.0275672149671984,0.00585116,0.0327509,4.166492
butter_flower,jpeg2000,3,2,0.0800408127971558,0.143160541006074,0.02122876,0.05982758,8.811254
butter_flower,jpeg2000,3,3,0.139175395409913,0.459942069908516,0.07699538,0.13514606,22.76042
butter_flower,jpeg2000,3,4,0.105308170532935,0.779220748760824,0.28367604,0.28138498,67.288528
butter_flower,jpeg2000,3,5,0.00476706376046725,0.925690448555226,0.73765431,0.43105495,120.41774699999999
butter_flower,fnoise,4,1,0.00976575803694763,0.027877091254073,0.00754048,0.04266788,7.305001
butter_flower,fnoise,4,2,0.107093231808029,0.19511966821076104,0.02825484,0.12105489,13.901539999999999
butter_flower,fnoise,4,3,0.146012934968937,0.381516077794223,0.08244459,0.20359025,18.902485000000002
butter_flower,fnoise,4,4,0.0340472785375603,0.5490401047265631,0.24401199999999998,0.36103987,55.523548
butter_flower,fnoise,4,5,0.0613765591035698,0.726603146511458,0.52459093,0.48303802,51.376431
butter_flower,BLUR,5,1,0.0652658894331604,0.0780722416914223,0.00353035,0.00892875,2.717537
butter_flower,BLUR,5,2,0.109908741872842,0.201968243192335,0.01358754,0.03321258,5.496995
butter_flower,BLUR,5,3,0.14225150145092302,0.48198049538288,0.06323836,0.11367374,17.989712
butter_flower,BLUR,5,4,0.0905950737994709,0.778539999293243,0.2620898,0.25653822,102.047859
butter_flower,BLUR,5,5,0.0121116104553132,0.952775053538163,0.80635343,0.42247531,126.94384
butter_flower,contrast,6,1,0.0734539635817059,0.0698313318705424,0.01099348,0.13762137,10.271206
butter_flower,contrast,6,2,0.0426626141231742,0.256400481779453,0.07679369,0.24555653,26.453981
butter_flower,contrast,6,3,0.117821526107231,0.5147021852401029,0.48266223,0.44495993,58.01382099999999
butter_flower,contrast,6,4,0.157329308583089,0.6148866679764511,0.81335501,0.54342188,77.512367
cactus,AWGN,1,1,0.0550881714456534,0.104328753206896,0.00382264,0.05713574,2.65614
cactus,AWGN,1,2,0.114413458151828,0.205707763944154,0.01296206,0.15058348,4.91058
cactus,AWGN,1,3,0.12553830833135302,0.34943846131273604,0.0379423,0.28771828,8.246454
cactus,AWGN,1,4,0.132855316931781,0.439167163818189,0.08236052,0.40112955,12.257697
cactus,AWGN,1,5,0.13350654333897,0.498391459794796,0.1633162,0.49953859999999994,18.518003
cactus,JPEG,2,1,0.0418613303772984,0.0409686571292669,0.00141545,0.02115117,1.463055
cactus,JPEG,2,2,0.0806541303602925,0.16046393751382698,0.00934481,0.04535128,3.3805949999999996
cactus,JPEG,2,3,0.13525949908088,0.3784208921549939,0.0274155,0.07756806,7.102314
cactus,JPEG,2,4,0.0803833738083714,0.7041424572935658,0.09952639,0.15950182,16.229032999999998
cactus,JPEG,2,5,0.00953114670184515,0.8117226067190879,0.28295078,0.25283902,34.362144
cactus,jpeg2000,3,1,0.0873129837039932,0.0785570297613172,0.00390673,0.0319658,3.6350269999999996
cactus,jpeg2000,3,2,0.120129244666003,0.209038855417228,0.01268346,0.04904414,6.08295
cactus,jpeg2000,3,3,0.137779888488681,0.405462893528488,0.03835118,0.08881194,10.676542999999999
cactus,jpeg2000,3,4,0.0877201777190206,0.638977192799069,0.12422267,0.156053,21.466766
cactus,jpeg2000,3,5,0.0,0.7852500362794441,0.42244843,0.29524763,76.07073199999999
cactus,fnoise,4,1,0.140619703511894,0.222083319335679,0.00882657,0.02676237,5.045148999999999
